Activity Type,Date,Favorite,Title,Distance,Calories,Total Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-06-25 19:40:52,false,"Eindhoven Carrera","4.96","428","00:26:42","155","172","3.2","168","179","5:23","4:00","12","11","1.10","8.1","8.9","262","5:24","412","0.0","406","570","--","--","--","4,494","--","--","-4","--","No","00:04:55.9","5","--","--","--","--","00:26:33","00:26:42","11","16"
Running,2025-06-24 10:37:45,false,"Eindhoven Carrera","8.25","733","00:48:51","151","163","3.3","161","177","5:55","4:46","25","22","1.05","8.5","8.9","272","5:52","392","0.0","380","527","--","--","--","7,872","--","--","-8","--","No","00:01:28.7","9","--","--","--","--","00:48:15","00:48:51","15","22"
Multisport,2025-06-22 07:44:11,false,"Hoorn Multideporte","115.16","5,171","06:54:14","--","201","5.0","--","--","16.7","--","401","389","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","No","--:--:--","5","--","--","--","--","--:--:--","06:54:14","-17","11"
Cycling,2025-06-20 14:27:53,false,"Eindhoven Ciclismo","19.98","649","00:54:30","137","160","3.0","--","--","22.0","31.6","65","81","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-7","--","No","00:00:03.1","5","--","--","--","--","00:51:53","00:54:30","17","38"
Running,2025-06-18 10:12:48,false,"Eindhoven Carrera","5.20","467","00:28:43","155","163","3.2","166","177","5:31","4:44","7","7","1.10","8.2","9.0","265","5:29","413","0.0","407","517","--","--","--","4,774","--","--","-7","--","No","00:01:18.8","6","--","--","--","--","00:28:23","00:28:43","15","20"
Cardio,2025-06-16 18:38:26,false,"CrossFit","0.00","511","00:37:57","144","178","3.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,640","--","--","-5","--","No","00:37:57","1","--","--","--","--","00:00:00","00:37:57","--","--"
Running,2025-06-14 10:18:43,false,"Eindhoven Carrera","6.01","558","00:36:10","151","164","3.1","165","181","6:01","4:51","5","4","1.01","8.6","8.7","274","6:01","375","0.0","373","495","--","--","--","5,980","--","--","-4","--","No","00:00:01.2","7","--","--","--","--","00:36:09","00:36:10","17","22"
Cycling,2025-06-13 13:10:46,false,"Helmond Ciclismo","23.03","887","01:07:09","139","159","3.2","--","--","20.6","33.6","66","67","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-8","--","No","00:10:09","5","--","--","--","--","01:03:07","01:07:09","14","26"
Open Water Swimming,2025-06-13 11:42:48,false,"Helmond Natación en aguas abiertas","2,030","811","00:53:01","148","169","3.4","--","--","2:37","1:12","--","--","--","--","--","--","--","--","0.0","--","--","1672","60","31","--","--","--","-9","20.0","No","00:00:46.9","5","33.0","--","--","--","00:52:21","00:56:47","--","--"
Cycling,2025-06-13 10:18:17,false,"Eindhoven Ciclismo","20.29","707","01:00:00","137","162","3.0","--","--","20.3","31.4","65","58","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-9","--","No","00:02:22.5","5","--","--","--","--","00:55:50","01:00:27","13","24"
Cycling,2025-06-12 16:16:58,false,"Eindhoven Ciclismo","43.55","1,365","01:46:01","147","165","3.8","--","--","24.6","33.5","172","169","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-12","--","No","00:09:25.9","9","--","--","--","--","01:41:39","01:51:19","13","34"
