Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-10-01 20:00:02,false,"Eindhoven Running","5.09","342","00:30:27","136","160","2.8","165","198","5:59","3:21","10","11","1.01","9.0","9.0","272","6:02","--","--","269","0.0","--","266","508","--","--","--","5,002","--","--","-5","--","No","00:00:18.7","6","--","--","--","--","--","--","--","--","--","00:30:13","00:34:16","12","22"
Running,2025-09-30 14:39:15,false,"Eindhoven - Intervals","10.08","639","00:52:24","149","170","3.7","171","181","5:12","3:53","25","25","1.12","8.3","9.2","255","5:13","--","--","319","0.0","--","304","439","--","--","--","8,932","--","--","-11","--","No","00:02:20.3","14","--","30","21","38","--","--","--","--","--","00:52:21","00:52:36","12","27"
Running,2025-09-28 10:57:42,false,"Eindhoven - Long run","15.03","966","01:20:49","144","177","4.5","170","181","5:23","4:02","30","28","1.09","8.5","9.2","259","5:22","--","--","302","0.0","--","294","416","--","--","--","13,700","--","--","-22","--","No","00:00:11.1","16","--","31","19","41","--","--","--","--","--","01:20:44","01:21:33","14","30"
Running,2025-09-27 09:49:19,false,"Eindhoven Running","10.03","671","01:00:57","138","155","3.3","168","176","6:05","4:25","31","23","0.98","9.0","8.9","271","6:04","--","--","265","0.0","--","263","376","--","--","--","10,234","--","--","-16","--","No","00:00:13.7","11","--","--","--","--","--","--","--","--","--","01:00:54","01:00:57","10","22"
Running,2025-09-25 18:23:19,false,"Eindhoven Running","10.04","639","01:00:07","132","140","3.1","163","174","5:59","4:31","31","16","1.02","9.0","9.3","274","5:57","--","--","277","0.0","--","275","372","--","--","--","9,806","--","--","-11","--","No","00:00:13.6","11","--","31","18","40","--","--","--","--","--","00:59:40","01:01:19","10","28"
Strength Training,2025-09-24 20:37:41,false,"Strength","0.00","161","00:29:36","99","132","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","118","59","6","-2","--","No","00:29:36","1","--","--","--","--","--","--","--","--","--","00:16:58","00:29:36","--","--"
Running,2025-09-23 17:23:53,false,"Eindhoven Running","10.07","633","00:57:54","133","140","3.1","168","175","5:45","3:38","46","42","1.04","8.8","9.2","268","5:46","--","--","279","0.0","--","279","434","--","--","--","9,664","--","--","-13","--","No","00:00:23.5","11","--","33","16","38","--","--","--","--","--","00:57:50","00:58:57","15","27"
Strength Training,2025-09-22 20:32:48,false,"Strength","0.00","107","00:23:26","92","124","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","66","33","4","-3","--","No","00:23:26","1","--","--","--","--","--","--","--","--","--","00:15:41","00:23:26","--","--"
Running,2025-09-21 10:24:45,false,"Eindhoven - Long run","19.27","1,246","01:50:21","134","145","4.0","169","176","5:44","4:10","48","37","1.04","8.8","9.1","266","5:43","--","--","288","0.0","--","286","448","--","--","--","18,552","--","--","-28","--","No","00:01:31.8","20","--","34","21","43","--","--","--","--","--","01:50:17","01:50:31","8","27"
Running,2025-09-20 10:12:59,false,"Eindhoven Running","7.05","469","00:40:54","139","148","3.1","169","174","5:48","4:40","18","12","1.02","8.8","9.0","266","5:47","--","--","278","0.0","--","277","342","--","--","--","6,910","--","--","-10","--","No","00:00:19.6","8","--","--","--","--","--","--","--","--","--","00:40:51","00:40:54","13","24"
